Country,Date_confirmation,New_infected,Total_infected
Belgium,2022-05-19,1,1
Belgium,2022-05-20,2,3
Belgium,2022-05-21,1,4
Belgium,2022-05-22,0,4
Belgium,2022-05-23,0,4
Belgium,2022-05-24,0,4
Belgium,2022-05-25,2,6
Belgium,2022-05-26,0,6
Belgium,2022-05-27,0,6
Belgium,2022-05-28,3,9
Belgium,2022-05-29,0,9
Belgium,2022-05-30,0,9
Belgium,2022-05-31,0,9
Belgium,2022-06-01,5,14
Belgium,2022-06-02,0,14
Belgium,2022-06-03,3,17
Belgium,2022-06-04,0,17
Belgium,2022-06-05,0,17
Belgium,2022-06-06,0,17
Belgium,2022-06-07,0,17
Belgium,2022-06-08,8,25
Belgium,2022-06-09,0,25
Belgium,2022-06-10,0,25
Belgium,2022-06-11,0,25
Belgium,2022-06-12,0,25
Belgium,2022-06-13,0,25
Belgium,2022-06-14,0,25
Belgium,2022-06-15,27,52
Belgium,2022-06-16,0,52
Belgium,2022-06-17,10,62
Belgium,2022-06-18,0,62
Belgium,2022-06-19,0,62
Belgium,2022-06-20,0,62
Belgium,2022-06-21,15,77
Belgium,2022-06-22,0,77
Belgium,2022-06-23,0,77
Belgium,2022-06-24,0,77
Belgium,2022-06-25,0,77
Belgium,2022-06-26,0,77
Belgium,2022-06-27,0,77
Belgium,2022-06-28,40,117
Belgium,2022-06-29,0,117
Belgium,2022-06-30,0,117
Belgium,2022-07-01,0,117
